date,open,high,low,close,adjusted_close,volume,symbol
2025-08-08,220.83,231.0,219.25,229.35,229.09,113854000,AAPL.US
2025-08-11,227.92,229.56,224.76,227.18,227.18,61806100,AAPL.US
2025-08-12,228.01,230.8,227.07,229.65,229.65,55626200,AAPL.US
2025-08-13,231.07,235.0,230.43,233.33,233.33,69878500,AAPL.US
2025-08-14,234.06,235.12,230.85,232.78,232.78,51916300,AAPL.US
2025-08-15,234.0,234.28,229.34,231.59,231.59,56038700,AAPL.US
2025-08-18,231.7,233.12,230.11,230.89,230.89,37476200,AAPL.US
2025-08-19,231.28,232.87,229.35,230.56,230.56,39402600,AAPL.US
2025-08-20,229.98,230.47,225.77,226.01,226.01,42263900,AAPL.US
2025-08-21,226.27,226.52,223.78,224.9,224.9,30621200,AAPL.US
2025-08-22,226.17,229.09,225.41,227.76,227.76,42477800,AAPL.US
2025-08-25,226.48,229.3,226.23,227.16,227.16,30983100,AAPL.US
2025-08-26,226.87,229.49,224.69,229.31,229.31,54575100,AAPL.US
2025-08-27,228.61,230.9,228.26,230.49,230.49,31259500,AAPL.US
2025-08-28,230.82,233.41,229.34,232.56,232.56,38074700,AAPL.US
2025-08-29,232.51,233.38,231.37,232.14,232.14,39418400,AAPL.US
2025-09-02,229.25,230.85,226.97,229.72,229.72,44075600,AAPL.US
2025-09-03,237.21,238.85,234.36,238.47,238.47,66427800,AAPL.US
2025-09-04,238.45,239.9,236.74,239.78,239.78,47549400,AAPL.US
2025-09-05,240.0,241.32,238.49,239.69,239.69,54870400,AAPL.US
2025-09-08,239.3,240.15,236.34,237.88,237.88,48999500,AAPL.US
2025-09-09,237.0,238.78,233.36,234.35,234.35,66313900,AAPL.US
2025-09-10,232.19,232.42,225.95,226.79,226.79,83440800,AAPL.US
2025-09-11,226.88,230.45,226.65,230.03,230.03,50208600,AAPL.US
2025-09-12,229.22,234.51,229.02,234.07,234.07,55824200,AAPL.US
2025-09-15,237.0,238.19,235.03,236.7,236.7,42699500,AAPL.US
2025-09-16,237.18,241.22,236.32,238.15,238.15,63421100,AAPL.US
2025-09-17,238.97,240.1,237.73,238.99,238.99,46508000,AAPL.US
2025-09-18,239.97,241.2,236.65,237.88,237.88,44249600,AAPL.US
2025-09-19,241.23,246.3,240.21,245.5,245.5,163741300,AAPL.US
2025-09-22,248.3,256.64,248.12,256.08,256.08,105517400,AAPL.US
2025-09-23,255.88,257.34,253.58,254.43,254.43,60275200,AAPL.US
2025-09-24,255.22,255.74,251.04,252.31,252.31,42303700,AAPL.US
2025-09-25,253.21,257.17,251.71,256.87,256.87,55202100,AAPL.US
2025-09-26,254.1,257.6,253.78,255.46,255.46,46076300,AAPL.US
2025-09-29,254.56,255.0,253.01,254.43,254.43,40127700,AAPL.US
2025-09-30,254.86,255.92,253.11,254.63,254.63,37704300,AAPL.US
2025-10-01,255.04,258.79,254.93,255.45,255.45,48713900,AAPL.US
2025-10-02,256.58,258.18,254.15,257.13,257.13,42630200,AAPL.US
2025-10-03,254.67,259.24,253.95,258.02,258.02,49155600,AAPL.US
2025-10-06,257.99,259.07,255.05,256.69,256.69,44664100,AAPL.US
2025-10-07,256.81,257.4,255.43,256.48,256.48,31955800,AAPL.US
2025-10-08,256.52,258.52,256.11,258.06,258.06,36496900,AAPL.US
2025-10-09,257.81,258.0,253.14,254.04,254.04,38322000,AAPL.US
2025-10-10,254.94,256.38,244.0,245.27,245.27,61999100,AAPL.US
2025-10-13,249.38,249.69,245.56,247.66,247.66,38142900,AAPL.US
2025-10-14,246.6,248.85,244.7,247.77,247.77,35478000,AAPL.US
2025-10-15,249.49,251.82,247.47,249.34,249.34,33893600,AAPL.US
2025-10-16,248.25,249.04,245.13,247.45,247.45,39777000,AAPL.US
2025-10-17,248.02,253.38,247.27,252.29,252.29,49147000,AAPL.US
2025-10-20,255.89,264.38,255.63,262.24,262.24,90483000,AAPL.US
2025-10-21,261.88,265.29,261.83,262.77,262.77,46695900,AAPL.US
2025-10-22,262.65,262.85,255.43,258.45,258.45,45015300,AAPL.US
2025-10-23,259.94,260.62,258.01,259.58,259.58,32754900,AAPL.US
2025-10-24,261.19,264.13,259.18,262.82,262.82,38221700,AAPL.US
2025-10-27,264.88,269.08,264.6501,268.81,268.81,44620772,AAPL.US
2010-06-29,18.9999,24.9999,17.5401,23.8899,1.5927,281749474,TSLA.US
2010-06-30,25.7901,30.4191,23.3001,23.8299,1.5887,257916160,TSLA.US
2010-07-01,24.9999,25.92,20.2701,21.96,1.464,123448057,TSLA.US
2010-07-02,23.0001,23.1,18.7101,19.2,1.28,77127184,TSLA.US
2010-07-06,20.0001,20.0001,15.8301,16.11,1.074,103189531,TSLA.US
2010-07-07,16.4001,16.6299,14.9799,15.8001,1.0533,103873817,TSLA.US
2010-07-08,16.14,17.52,15.57,17.46,1.164,115793219,TSLA.US
2010-07-09,17.58,17.9001,16.5501,17.4,1.16,60879153,TSLA.US
2010-07-12,17.9499,18.0699,17.0001,17.0499,1.1367,33053584,TSLA.US
2010-07-13,17.394,18.6399,16.8999,18.1401,1.2093,40200941,TSLA.US
2010-07-14,17.94,20.1501,17.76,19.8399,1.3227,62941715,TSLA.US
2010-07-15,19.9401,21.5001,18.9999,19.89,1.326,56179513,TSLA.US
2010-07-16,20.7,21.3,20.0499,20.64,1.376,39318190,TSLA.US
2010-07-19,21.3699,22.2501,20.9199,21.9099,1.4607,37297373,TSLA.US
2010-07-20,21.8499,21.8499,20.0499,20.3001,1.3533,27378493,TSLA.US
2010-07-21,20.6601,20.9001,19.5,20.22,1.348,18801649,TSLA.US
2010-07-22,20.4999,21.2499,20.37,21.0,1.4,14435190,TSLA.US
2010-07-23,21.1899,21.5601,21.06,21.2901,1.4193,9810745,TSLA.US
2010-07-26,21.5001,21.5001,20.3001,20.9499,1.3967,13836808,TSLA.US
2010-07-27,20.91,21.18,20.2599,20.55,1.37,9295135,TSLA.US
2010-07-28,20.55,20.9001,20.5101,20.7201,1.3813,7007752,TSLA.US
2010-07-29,20.7699,20.88,20.0001,20.3499,1.3567,9238659,TSLA.US
2010-07-30,20.1999,20.4399,19.5501,19.9401,1.3293,6402457,TSLA.US
2010-08-02,20.4999,20.97,20.3331,20.9199,1.3947,10787186,TSLA.US
2010-08-03,21.0,21.9501,20.82,21.9501,1.4633,18465364,TSLA.US
2010-08-04,21.9501,22.1799,20.85,21.2601,1.4173,13811353,TSLA.US
2010-08-05,21.54,21.5499,20.0499,20.4501,1.3633,11945712,TSLA.US
2010-08-06,20.1,20.16,19.5201,19.59,1.306,11132083,TSLA.US
2010-08-09,19.8999,19.98,19.4499,19.5999,1.3067,12189854,TSLA.US
2010-08-10,19.65,19.65,18.8199,19.0299,1.2687,19219310,TSLA.US
2010-08-11,18.69,18.8799,17.85,17.9001,1.1933,11964762,TSLA.US
2010-08-12,17.7999,17.9001,17.3901,17.6001,1.1733,10369227,TSLA.US
2010-08-13,18.18,18.45,17.6604,18.3201,1.2213,9517705,TSLA.US
2010-08-16,18.45,18.8001,18.2616,18.78,1.252,7293172,TSLA.US
2010-08-17,18.96,19.4001,18.78,19.1499,1.2767,6718222,TSLA.US
2010-08-18,19.59,19.59,18.6,18.7701,1.2513,9019989,TSLA.US
2010-08-19,18.54,19.2501,18.33,18.7899,1.2527,8686239,TSLA.US
2010-08-20,18.6501,19.11,18.51,19.1001,1.2733,4462490,TSLA.US
2010-08-23,19.0899,20.3892,18.9999,20.13,1.342,16320452,TSLA.US
2010-08-24,19.2501,19.71,18.9501,19.2,1.28,10096120,TSLA.US
2010-08-25,19.1601,19.98,18.5601,19.8999,1.3267,7549343,TSLA.US
2010-08-26,19.89,20.2701,19.5999,19.7499,1.3167,6506047,TSLA.US
2010-08-27,19.7499,19.8651,19.5,19.7001,1.3133,5694637,TSLA.US
2010-08-30,19.7001,20.19,19.6101,19.8699,1.3247,10990976,TSLA.US
2010-08-31,19.6599,19.7901,19.3299,19.4799,1.2987,3015183,TSLA.US
2010-09-01,19.62,20.6901,19.5999,20.4501,1.3633,7435283,TSLA.US
2010-09-02,20.37,21.24,20.3103,21.06,1.404,7305908,TSLA.US
2010-09-03,20.8701,21.3,20.6601,21.0501,1.4033,6521347,TSLA.US
2010-09-07,20.61,21.0,20.4999,20.5401,1.3693,3650029,TSLA.US
2010-09-08,20.6601,20.9499,20.6001,20.9001,1.3933,4325734,TSLA.US
2010-09-09,21.0,21.0501,20.6901,20.7099,1.3807,5642962,TSLA.US
2010-09-10,20.7501,20.9301,19.7601,20.1699,1.3447,5798572,TSLA.US
2010-09-13,20.8899,20.8995,20.4999,20.7201,1.3813,5410551,TSLA.US
2010-09-14,20.5401,21.6,20.5299,21.12,1.408,9819445,TSLA.US
2010-09-15,20.9799,21.9999,20.79,21.9801,1.4653,10271382,TSLA.US
2010-09-16,22.1499,23.16,20.8401,20.94,1.396,40288241,TSLA.US
2010-09-17,21.0201,21.3201,19.8,20.2299,1.3487,17976888,TSLA.US
2010-09-20,20.67,21.3501,20.16,21.0549,1.4037,14212140,TSLA.US
2010-09-21,20.8899,21.5499,20.67,20.7699,1.3847,11940012,TSLA.US
2010-09-22,20.8701,20.9499,19.8,19.8699,1.3247,14442255,TSLA.US
2010-09-23,19.89,20.1399,19.5,19.56,1.304,10021150,TSLA.US
2010-09-24,19.95,20.19,19.65,20.1,1.34,8684814,TSLA.US
2010-09-27,20.4,20.8101,20.0499,20.5299,1.3687,6278961,TSLA.US
2010-09-28,21.0399,21.4899,20.76,21.3999,1.4267,18216994,TSLA.US
2010-09-29,21.1899,22.0299,21.1299,21.9801,1.4653,29541885,TSLA.US
2010-09-30,21.9999,22.1499,20.19,20.4051,1.3603,32949409,TSLA.US
2010-10-01,20.6901,20.7501,20.31,20.6001,1.3733,8986074,TSLA.US
2010-10-04,20.43,21.1701,20.3001,20.9901,1.3993,9653995,TSLA.US
2010-10-05,21.15,21.2799,21.0099,21.12,1.408,4979045,TSLA.US
2010-10-06,21.06,21.258,20.3199,20.46,1.364,4703285,TSLA.US
2010-10-07,20.5701,20.64,20.34,20.43,1.362,2115302,TSLA.US
2010-10-08,20.43,20.79,20.3901,20.43,1.362,4021654,TSLA.US
2010-10-11,20.4399,20.6991,20.07,20.2401,1.3493,2567913,TSLA.US
2010-10-12,20.1999,20.283,20.0301,20.2401,1.3493,3658684,TSLA.US
2010-10-13,20.64,20.85,20.3601,20.5401,1.3693,4808120,TSLA.US
2010-10-14,21.0,21.03,20.4,20.7501,1.3833,4419305,TSLA.US
2010-10-15,20.8899,20.9001,20.25,20.5401,1.3693,4272604,TSLA.US
